CMM	DATA	PU_ANTERIOR	PU_ATUAL
DI1V18	10/02/2017	85444.36	85524.18
DI1V18	13/02/2017	85565.3	85544.42
DI1V18	14/02/2017	85585.55	85552.22
DI1V18	15/02/2017	85593.35	85635.07
DI1V18	16/02/2017	85676.24	85580.64
DI1V18	17/02/2017	85621.79	85725.57
DI1V18	20/02/2017	85766.79	85783.19
DI1V18	21/02/2017	85824.43	85890.4
DI1V18	22/02/2017	85931.7	85935.38
DI1V18	29/03/2016	72849.08	73059.72
DI1V19	01/02/2017	76875.88	76917.13
DI1V19	02/01/2017	74943.83	75137.24
DI1V19	02/02/2017	76954.11	77039.46
DI1V19	03/02/2017	77076.5	77235.49
DI1V19	06/02/2017	77272.62	77296.88
DI1V19	07/02/2017	77334.04	77452.3
DI1V19	08/02/2017	77489.54	77565.24
DI1V19	09/02/2017	77602.53	77595.06
DI1V19	10/02/2017	77632.37	77744.79
DI1V19	13/02/2017	77782.17	77728.4
DI1V19	14/02/2017	77765.77	77730.56
DI1V19	15/02/2017	77767.93	77828.41
DI1V19	16/02/2017	77865.83	77671.0
DI1V19	17/02/2017	77708.34	77832.87
DI1V19	20/02/2017	77870.29	77908.51
DI1V19	21/02/2017	77945.97	78035.44
DI1V19	22/02/2017	78072.96	78092.62
DI1V19	29/03/2016	63869.49	64247.04
DI1V20	01/02/2017	69155.29	69143.01
DI1V20	02/01/2017	67019.24	67339.44
DI1V20	02/02/2017	69176.25	69364.49
DI1V20	03/02/2017	69397.84	69643.67
DI1V20	06/02/2017	69677.15	69739.93
DI1V20	07/02/2017	69773.46	69893.57
DI1V20	08/02/2017	69927.17	70035.84
DI1V20	09/02/2017	70069.51	70120.65
DI1V20	10/02/2017	70154.36	70251.5
DI1V20	13/02/2017	70285.28	70255.72
DI1V20	14/02/2017	70289.5	70294.48
DI1V20	15/02/2017	70328.28	70425.25
DI1V20	16/02/2017	70459.11	70188.51
DI1V20	17/02/2017	70222.26	70330.43
DI1V20	20/02/2017	70364.24	70426.53
DI1V20	21/02/2017	70460.39	70568.55
DI1V20	22/02/2017	70602.48	70630.21
DI1V20	29/03/2016	56122.09	56589.63
DI1V21	01/02/2017	62130.93	62175.8
DI1V21	02/01/2017	59874.75	60278.55
DI1V21	02/02/2017	62205.69	62420.14
DI1V21	03/02/2017	62450.15	62807.09
DI1V21	06/02/2017	62837.29	62892.64
DI1V21	07/02/2017	62922.88	63110.1
DI1V21	08/02/2017	63140.44	63264.55
DI1V21	09/02/2017	63294.97	63366.21
DI1V21	10/02/2017	63396.68	63528.94
DI1V21	13/02/2017	63559.48	63593.57
DI1V21	14/02/2017	63624.15	63567.96
DI1V21	15/02/2017	63598.52	63672.37
DI1V21	16/02/2017	63702.98	63443.07
DI1V21	17/02/2017	63473.57	63613.37
DI1V21	20/02/2017	63643.96	63662.06
DI1V21	21/02/2017	63692.67	63811.41
DI1V21	22/02/2017	63842.09	63907.84
DI1V21	29/03/2016	49194.87	49770.47
DI1X16	29/03/2016	92483.68	92483.04
DI1X17	01/02/2017	92470.99	92474.53
DI1X17	02/01/2017	91212.09	91249.44
DI1X17	02/02/2017	92518.99	92529.21
DI1X17	03/02/2017	92573.7	92592.94
DI1X17	06/02/2017	92637.46	92633.29
DI1X17	07/02/2017	92677.83	92691.22
DI1X17	08/02/2017	92735.79	92768.3
DI1X17	09/02/2017	92812.9	92815.58
DI1X17	10/02/2017	92860.21	92880.13
DI1X17	13/02/2017	92924.79	92924.8
DI1X17	14/02/2017	92969.48	92967.64
DI1X17	15/02/2017	93012.34	93028.13
DI1X17	16/02/2017	93072.86	93059.08
DI1X17	17/02/2017	93103.82	93129.8
DI1X17	20/02/2017	93174.58	93192.08
DI1X17	21/02/2017	93236.89	93255.29
DI1X17	22/02/2017	93300.13	93305.02
DI1Z16	29/03/2016	91587.36	91590.76
DI1Z17	01/02/2017	91783.33	91787.44
DI1Z17	02/01/2017	90483.6	90543.21
DI1Z17	02/02/2017	91831.57	91844.39
DI1Z17	03/02/2017	91888.55	91911.3
DI1Z17	06/02/2017	91955.49	91950.47
DI1Z17	07/02/2017	91994.68	92010.35
DI1Z17	08/02/2017	92054.59	92088.04
DI1Z17	09/02/2017	92132.32	92135.57
DI1Z17	10/02/2017	92179.87	92204.17
DI1Z17	13/02/2017	92248.5	92248.17
DI1Z17	14/02/2017	92292.52	92290.16
DI1Z17	15/02/2017	92334.53	92351.04
DI1Z17	16/02/2017	92395.44	92377.96
DI1Z17	17/02/2017	92422.38	92456.69
DI1Z17	20/02/2017	92501.14	92516.41
DI1Z17	21/02/2017	92560.89	92584.28
DI1Z17	22/02/2017	92628.79	92634.01
